,delta,tau,fname
5094,-11.125582735869258,94,LES
5095,-11.134681601477538,95,LES
5096,-11.155354376010317,96,LES
5097,-11.162735997363221,97,LES
5098,-11.248510804290174,98,LES
5099,-11.32773212527061,99,LES
5100,-1.4578473273193373,0,D2A
5101,-1.9756525518578463,1,D2A
5102,-2.3512653558489616,2,D2A
5103,-2.5519551107734317,3,D2A
5104,-2.646614085776903,4,D2A
5105,-2.674734510690712,5,D2A
5106,-2.7608078264349136,6,D2A
5107,-2.9405761746647854,7,D2A
5108,-3.2131441618853613,8,D2A
5109,-3.6059019999431556,9,D2A
5110,-4.058660811380025,10,D2A
5111,-4.370951689427985,11,D2A
5112,-4.43608511422841,12,D2A
5113,-4.707772540155811,13,D2A
5114,-4.787066905241566,14,D2A
5115,-4.857582499765107,15,D2A
5116,-5.2393500338535315,16,D2A
5117,-5.296898490371796,17,D2A
5118,-5.4797685312804,18,D2A
5119,-5.700308674835047,19,D2A
5120,-5.704118808460606,20,D2A
5121,-5.845944996938264,21,D2A
5122,-5.921508877138007,22,D2A
5123,-6.104399339407208,23,D2A
5124,-6.217487687165784,24,D2A
5125,-6.2255107978059385,25,D2A
5126,-6.249912005058661,26,D2A
5127,-6.302354404657256,27,D2A
5128,-6.303580746398749,28,D2A
5129,-6.3302319964788305,29,D2A
5130,-6.6719611672663905,30,D2A
5131,-6.710623379659447,31,D2A
5132,-6.750796754205661,32,D2A
5133,-6.837785770121974,33,D2A
5134,-6.890614356702055,34,D2A
5135,-7.0018932624258206,35,D2A
5136,-7.041265179090989,36,D2A
5137,-7.15640723769834,37,D2A
5138,-7.156848833385783,38,D2A
5139,-7.236406137565464,39,D2A
5140,-7.35623317897762,40,D2A
5141,-7.460851389209732,41,D2A
5142,-7.574364421780443,42,D2A
5143,-7.57527940317232,43,D2A
5144,-7.641605139466725,44,D2A
5145,-7.734767772205283,45,D2A
5146,-7.794844476826843,46,D2A
5147,-7.82441046477211,47,D2A
5148,-7.859390790610398,48,D2A
5149,-7.8686994147452785,49,D2A
5150,-7.904143884481586,50,D2A
5151,-7.9097752645322394,51,D2A
5152,-7.992385968392384,52,D2A
5153,-8.073722987112234,53,D2A
5154,-8.082567147816189,54,D2A
5155,-8.08328534061684,55,D2A
5156,-8.095639058078492,56,D2A
5157,-8.096289589621641,57,D2A
5158,-8.15178783994647,58,D2A
5159,-8.153161402555625,59,D2A
5160,-8.217955582398265,60,D2A
5161,-8.24564261861963,61,D2A
5162,-8.247530141274773,62,D2A
5163,-8.269524845084442,63,D2A
5164,-8.285540993205696,64,D2A
5165,-8.31638879837247,65,D2A
5166,-8.3291707291183,66,D2A
5167,-8.336055076812418,67,D2A
5168,-8.342128086306493,68,D2A
5169,-8.358714258432943,69,D2A
5170,-8.36010918053545,70,D2A
5171,-8.38611001720317,71,D2A
5172,-8.386235675392058,72,D2A
5173,-8.415365188921793,73,D2A
5174,-8.520300009977095,74,D2A
5175,-8.565067668829228,75,D2A
5176,-8.57046509340071,76,D2A
5177,-8.570669048807378,77,D2A
5178,-8.6080894219393,78,D2A
5179,-8.614454485376442,79,D2A
5180,-8.683933902584005,80,D2A
5181,-8.68533306809181,81,D2A
5182,-8.72214839789352,82,D2A
5183,-8.723073211817956,83,D2A
5184,-8.734609510365845,84,D2A
5185,-8.807523119785197,85,D2A
5186,-8.829373258948566,86,D2A
5187,-8.8446419934172,87,D2A
5188,-8.913478127714669,88,D2A
5189,-8.926984713818449,89,D2A
5190,-8.929102761939838,90,D2A
5191,-8.931080610527776,91,D2A
5192,-8.96835667051459,92,D2A
5193,-9.02830675974731,93,D2A
5194,-9.083057932102827,94,D2A
5195,-9.1127163832854,95,D2A
5196,-9.157861553269035,96,D2A
5197,-9.170064701819689,97,D2A
5198,-9.315337306310413,98,D2A
5199,-9.352837905185748,99,D2A
5200,-1.7080176572803738,0,SHM
5201,-1.9797658948822179,1,SHM
5202,-2.108415762269286,2,SHM
5203,-2.224779851496917,3,SHM
5204,-2.463881818167303,4,SHM
5205,-2.7390383595766377,5,SHM
5206,-2.8634962737915433,6,SHM
5207,-2.8636815520029293,7,SHM
5208,-3.0414537144971274,8,SHM
5209,-3.488130058603501,9,SHM
5210,-4.035382548029269,10,SHM
5211,-4.682843901559152,11,SHM
5212,-4.922817414686918,12,SHM
5213,-4.923245694594012,13,SHM
5214,-5.044673437472056,14,SHM
5215,-5.149192516680334,15,SHM
5216,-5.3740398828683285,16,SHM
5217,-5.433592830293138,17,SHM
5218,-5.630911599741159,18,SHM
5219,-5.8067000348438045,19,SHM
5220,-5.855373622212362,20,SHM
5221,-6.068914207214002,21,SHM
5222,-6.10596847606449,22,SHM
5223,-6.356671122487522,23,SHM
5224,-6.397182702168469,24,SHM
5225,-6.422954394877696,25,SHM
5226,-6.596537748997443,26,SHM
5227,-6.6627502584470735,27,SHM
5228,-6.973716703884746,28,SHM
5229,-7.010268229669268,29,SHM
5230,-7.049691252965272,30,SHM
5231,-7.053268403238566,31,SHM
5232,-7.153146470670337,32,SHM
5233,-7.218680945810851,33,SHM
5234,-7.221307514401016,34,SHM
5235,-7.38638447938687,35,SHM
5236,-7.388355738221361,36,SHM
5237,-7.538570613304848,37,SHM
5238,-7.5627642612264285,38,SHM
5239,-7.591204190905289,39,SHM
5240,-7.591877378665299,40,SHM
5241,-7.604325857054574,41,SHM
5242,-7.6351202407799,42,SHM
5243,-7.658474737160351,43,SHM
5244,-7.660408800990443,44,SHM
5245,-7.66465925811907,45,SHM
5246,-7.726729061913158,46,SHM
5247,-7.733828099812404,47,SHM
5248,-7.754778054722705,48,SHM
5249,-7.791169234805455,49,SHM
