,delta,tau,fname
2171,-8.505543280794509,71,D2K
2172,-8.524836873744075,72,D2K
2173,-8.539961071378626,73,D2K
2174,-8.545645570857857,74,D2K
2175,-8.587516744690861,75,D2K
2176,-8.592266051006344,76,D2K
2177,-8.656210404310134,77,D2K
2178,-8.67694275080609,78,D2K
2179,-8.697701689027605,79,D2K
2180,-8.697893886599498,80,D2K
2181,-8.735487917011211,81,D2K
2182,-8.807966023565617,82,D2K
2183,-8.817878349983767,83,D2K
2184,-8.896613892051409,84,D2K
2185,-8.896728700672705,85,D2K
2186,-8.929290033887371,86,D2K
2187,-8.938668784134336,87,D2K
2188,-8.997853973408743,88,D2K
2189,-9.005128914118265,89,D2K
2190,-9.051641403186657,90,D2K
2191,-9.056018466770025,91,D2K
2192,-9.061979643165131,92,D2K
2193,-9.066317846955682,93,D2K
2194,-9.096830833137886,94,D2K
2195,-9.100000077530249,95,D2K
2196,-9.14039003599468,96,D2K
2197,-9.179204289872445,97,D2K
2198,-9.299802078401804,98,D2K
2199,-9.346416816920339,99,D2K
2200,-1.5238636578261562,0,LID
2201,-2.035895429956256,1,LID
2202,-2.050411264149907,2,LID
2203,-2.2539709560019805,3,LID
2204,-2.495516638175834,4,LID
2205,-2.7167410127568865,5,LID
2206,-2.813374682037658,6,LID
2207,-3.031494709972299,7,LID
2208,-3.253492389165512,8,LID
2209,-3.5614937184080473,9,LID
2210,-4.042575750659595,10,LID
2211,-4.67255890727104,11,LID
2212,-4.897324154708787,12,LID
2213,-4.932856182574593,13,LID
2214,-5.100717893860837,14,LID
2215,-5.26841042027733,15,LID
2216,-5.642429242237093,16,LID
2217,-5.820540264011052,17,LID
2218,-5.896410314084829,18,LID
2219,-6.150500974359086,19,LID
2220,-6.156991482141546,20,LID
2221,-6.170651268629659,21,LID
2222,-6.232832039109401,22,LID
2223,-6.4718516984530465,23,LID
2224,-6.591673080068745,24,LID
2225,-6.598998963880707,25,LID
2226,-6.7474301060732484,26,LID
2227,-6.8033354986533965,27,LID
2228,-7.007759904662438,28,LID
2229,-7.041717976645087,29,LID
2230,-7.079703825658977,30,LID
2231,-7.128332831639793,31,LID
2232,-7.280868995847633,32,LID
2233,-7.568648757477473,33,LID
2234,-7.573842404650361,34,LID
2235,-7.6295803135109574,35,LID
2236,-7.662076886733219,36,LID
2237,-7.751410193900959,37,LID
2238,-7.776940289768127,38,LID
2239,-7.910330304543631,39,LID
2240,-8.028237621544406,40,LID
2241,-8.04676669158511,41,LID
2242,-8.121989538921541,42,LID
2243,-8.12775089295256,43,LID
2244,-8.154066564824616,44,LID
2245,-8.154172523670207,45,LID
2246,-8.203661868568917,46,LID
2247,-8.22032787409096,47,LID
2248,-8.28869384363489,48,LID
2249,-8.290538746646817,49,LID
2250,-8.299245922530206,50,LID
2251,-8.29995813879492,51,LID
2252,-8.373442384563738,52,LID
2253,-8.459752440645957,53,LID
2254,-8.460693342315503,54,LID
2255,-8.484990277750319,55,LID
2256,-8.495500077993816,56,LID
2257,-8.544976321532083,57,LID
2258,-8.571099836336174,58,LID
2259,-8.57293641181396,59,LID
2260,-8.631362240649148,60,LID
2261,-8.64288616354988,61,LID
2262,-8.687073687774035,62,LID
2263,-8.713981136195295,63,LID
2264,-8.71858660433314,64,LID
2265,-8.730215130716926,65,LID
2266,-8.732966745429886,66,LID
2267,-8.73345591126529,67,LID
2268,-8.749189848332852,68,LID
2269,-8.849198685406916,69,LID
2270,-8.851444273129577,70,LID
2271,-8.87260997114259,71,LID
2272,-8.877143044995096,72,LID
2273,-8.883633979241111,73,LID
2274,-8.888820693658724,74,LID
2275,-8.93708355818682,75,LID
2276,-8.964430765075887,76,LID
2277,-8.969020330559745,77,LID
2278,-9.00800557517692,78,LID
2279,-9.013009390851606,79,LID
2280,-9.018155311202012,80,LID
2281,-9.057332095546439,81,LID
2282,-9.059684278283283,82,LID
2283,-9.062231664391486,83,LID
2284,-9.066701171903071,84,LID
2285,-9.149330126510282,85,LID
2286,-9.167614609877779,86,LID
2287,-9.178229156952664,87,LID
2288,-9.236539006836411,88,LID
2289,-9.239192516465971,89,LID
2290,-9.308875659529075,90,LID
2291,-9.339298210993311,91,LID
2292,-9.440130517109907,92,LID
2293,-9.445750760028755,93,LID
2294,-9.445966865558717,94,LID
2295,-9.461593500844646,95,LID
2296,-9.546845573290975,96,LID
2297,-9.557027209030462,97,LID
2298,-9.585049175118058,98,LID
2299,-9.731662851718315,99,LID
2300,-1.0858589389968505,0,SUM
2301,-2.167475382258608,1,SUM
2302,-2.3744670030839687,2,SUM
2303,-2.442577048350144,3,SUM
2304,-2.636493868555358,4,SUM
2305,-2.7396211350492417,5,SUM
2306,-2.9297806630577705,6,SUM
2307,-3.217193972946893,7,SUM
2308,-3.591460733362802,8,SUM
2309,-3.888603411512479,9,SUM
2310,-4.254979618522377,10,SUM
2311,-4.698333863847543,11,SUM
2312,-4.844156226803046,12,SUM
2313,-4.940150272782956,13,SUM
2314,-5.200091004522439,14,SUM
2315,-5.5048640877627415,15,SUM
2316,-5.64061819205982,16,SUM
2317,-5.645075568673539,17,SUM
2318,-5.963912494790981,18,SUM
2319,-6.133576258160684,19,SUM
2320,-6.157979194684645,20,SUM
2321,-6.220797929187608,21,SUM
2322,-6.252639352310525,22,SUM
2323,-6.456205771605517,23,SUM
2324,-6.51283443387066,24,SUM
2325,-6.66156934692825,25,SUM
2326,-6.719039687569826,26,SUM
2327,-6.722636522386381,27,SUM
2328,-6.919845361112432,28,SUM
2329,-6.9649712709357825,29,SUM
2330,-6.986053292352095,30,SUM
2331,-7.027059248567989,31,SUM
2332,-7.226395102181032,32,SUM
2333,-7.461646006959771,33,SUM
2334,-7.544792851752076,34,SUM
2335,-7.586989369183216,35,SUM
2336,-7.59445604080826,36,SUM
2337,-7.633762725896498,37,SUM
2338,-7.633854754466228,38,SUM
2339,-7.652905976431205,39,SUM
2340,-7.677015616185077,40,SUM
2341,-7.790419518413886,41,SUM
2342,-7.870786955781287,42,SUM
2343,-7.889031039520742,43,SUM
2344,-7.898763342326652,44,SUM
2345,-7.939089277868021,45,SUM
2346,-8.03451046132204,46,SUM
2347,-8.064711163649168,47,SUM
2348,-8.153028299176404,48,SUM
2349,-8.211167029352426,49,SUM
2350,-8.211997816309362,50,SUM
2351,-8.249050670046602,51,SUM
2352,-8.344586519069052,52,SUM
2353,-8.376854376614796,53,SUM
2354,-8.40231220458962,54,SUM
2355,-8.433479228046906,55,SUM
2356,-8.44869765810727,56,SUM
2357,-8.51299812598036,57,SUM
2358,-8.539296345121137,58,SUM
2359,-8.587778319629443,59,SUM
2360,-8.596126369612636,60,SUM
2361,-8.596214847198114,61,SUM
2362,-8.626082343129383,62,SUM
2363,-8.705738355803051,63,SUM
2364,-8.812540548331034,64,SUM
2365,-8.819500769396273,65,SUM
2366,-8.848553211354382,66,SUM
2367,-8.879617794945304,67,SUM
2368,-8.909198725195573,68,SUM
2369,-8.918770134981125,69,SUM
2370,-8.939857328516862,70,SUM
2371,-8.985941490927063,71,SUM
2372,-9.000410994304373,72,SUM
2373,-9.038168653305801,73,SUM
2374,-9.133779898847576,74,SUM
2375,-9.156752247038423,75,SUM
2376,-9.19485883484022,76,SUM
2377,-9.274826016563608,77,SUM
2378,-9.319519695657174,78,SUM
2379,-9.321052987723894,79,SUM
2380,-9.392810876966239,80,SUM
2381,-9.406360531524452,81,SUM
2382,-9.488813539474293,82,SUM
2383,-9.494395695235015,83,SUM
2384,-9.530408644517884,84,SUM
2385,-9.550398869407235,85,SUM
2386,-9.558127041826669,86,SUM
2387,-9.578843875673881,87,SUM
2388,-9.587332745146636,88,SUM
2389,-9.664643266553318,89,SUM
2390,-9.673193824910875,90,SUM
2391,-9.752688655726832,91,SUM
2392,-9.796752022983593,92,SUM
2393,-9.813319153472953,93,SUM
2394,-9.932742782789662,94,SUM
2395,-9.96797975204742,95,SUM
2396,-10.024706820401505,96,SUM
2397,-10.063675913961863,97,SUM
2398,-10.239830403913452,98,SUM
2399,-10.24799413311514,99,SUM
2400,-1.6090007419906471,0,LES
2401,-1.9696975424441336,1,LES
2402,-2.2882089477147503,2,LES
2403,-2.292623146011274,3,LES
2404,-2.324899833110255,4,LES
2405,-2.483501197573009,5,LES
2406,-2.7641259174104813,6,LES
2407,-3.087134913292316,7,LES
