,treatment,score,dimention
349,LD6,0.32797967835666686,9
350,LD6,0.33932220763644216,10
351,LD6,0.3463795467272647,11
352,LD6,0.3496013002093634,12
353,LD6,0.3537440996349318,13
354,LD6,0.35005266177535665,14
355,LD6,0.3571798747710585,15
356,LD6,0.3588226251787383,16
357,LD6,0.3635372702613152,17
358,LD6,0.3647679410711725,18
359,LD6,0.36227745262545785,19
360,LD6,0.3620622739100713,20
361,LD6,0.3609362598324133,21
362,LD6,0.3620454009771662,22
363,LD6,0.3660813334528674,23
364,LD6,0.36691073408872055,24
365,LD6,0.3679063243405162,25
366,LD6,0.367006731306754,26
367,LD6,0.3646488954902052,27
368,LD6,0.36787158158806454,28
369,LD6,0.3655094180487538,29
370,LD6,0.3668073090255868,30
371,LD6,0.3683086229193564,31
372,LD6,0.3690765497255998,32
373,LD6,0.368628454571155,33
374,LD6,0.3672406559186895,34
375,LD6,0.3696980029496679,35
376,LD6,0.37233606857063284,36
377,LD6,0.37225804486323755,37
378,LD6,0.37162407896474536,38
379,LD6,0.3731482375247738,39
380,LD6,0.3752956062634907,40
381,LD6,0.3764698846681873,41
382,LD6,0.3756785347657372,42
383,LD6,0.37409287050820617,43
384,LD6,0.3748668989167212,44
385,LD6,0.3729049020231934,45
386,LD6,0.37385441894595717,46
387,LD6,0.3748488956628919,47
388,LD6,0.3750195011858223,48
389,LD6,0.37546129492399694,49
390,LD6,0.37638716690860363,50
391,LD6,0.37542513920230713,51
392,LD6,0.37677230697268094,52
393,LD6,0.37660123072432083,53
394,LD6,0.3747556205680066,54
395,LD6,0.37409622591976255,55
396,LD6,0.3742270855195702,56
397,LD6,0.3743772270359115,57
398,LD6,0.37593563124609497,58
399,LD6,0.374698125020828,59
400,LD6,0.374802697765506,60
401,LD6,0.3736003938130146,61
402,LD6,0.36655162122224805,62
403,LD6,0.361862023619944,63
404,LD6,0.3598105937627055,64
405,LD6,0.35773045979982177,65
406,LD6,0.3563816654422549,66
