,log_lyp,lyp,dim,treatment,animal
218,-4.008715114040904,0.018156709556645154,19,LES,0801
219,-3.985765763017428,0.018578212366320252,21,LES,0801
220,-3.99157213876313,0.01847065285230294,23,LES,0801
221,-3.980754708754116,0.018671542442342624,25,LES,0801
222,-3.9875701502684007,0.01854472030219436,27,LES,0801
223,-3.9887729118124335,0.01852242883411762,29,LES,0801
224,-3.9937078025420107,0.018431247840939115,31,LES,0801
225,0.8698747905814005,2.3866120085135534,3,LES,S066
226,-1.2118500157332002,0.2976461197555771,5,LES,S066
227,-1.8727978884593037,0.15369304369208464,7,LES,S066
228,-2.9266740960927096,0.05357492722000777,9,LES,S066
229,-3.6567174096909354,0.025817120814134058,11,LES,S066
230,-3.6570233283469014,0.025809224083173942,13,LES,S066
231,-3.656162148626493,0.025831460036755745,15,LES,S066
232,-3.6774452300744773,0.02528749611618916,17,LES,S066
233,-3.6641543235809824,0.025625833285826967,19,LES,S066
234,-3.665693022309651,0.02558643316895748,21,LES,S066
235,-3.6719243827050363,0.02542749061113858,23,LES,S066
236,-3.6735298651419597,0.025386699974634348,25,LES,S066
237,-3.6664141796012073,0.025567987977854204,27,LES,S066
238,-3.6488320346696335,0.026021503250778222,29,LES,S066
239,-3.66427302465197,0.02562279165249714,31,LES,S066
240,2.014472198411006,7.496769529944521,3,D1A,2730
241,-0.4013630372087414,0.669406997272207,5,D1A,2730
242,-1.9770460460898984,0.13847769045318228,7,D1A,2730
243,-1.9740394883846717,0.1388946581250052,9,D1A,2730
244,-2.219342285143392,0.10868056614609,11,D1A,2730
245,-2.3404041306890235,0.09628871714081605,13,D1A,2730
246,-2.415177916419329,0.08935144041915152,15,D1A,2730
247,-2.589959544542988,0.07502307511672507,17,D1A,2730
248,-2.716624975431107,0.06609745894627662,19,D1A,2730
249,-2.7028026317394365,0.06701742413134774,21,D1A,2730
250,-2.729134425258036,0.06527576627678995,23,D1A,2730
251,-2.6955509072113695,0.06750518243666451,25,D1A,2730
252,-2.7198961361360037,0.06588159678826841,27,D1A,2730
253,-2.728870064415796,0.06529302491449424,29,D1A,2730
254,-2.7242570476364247,0.0655949185187759,31,D1A,2730
255,1.8955608554773984,6.656280569348948,3,LD6,3130
256,-0.4312210486275046,0.6497152762301455,5,LD6,3130
257,-2.067796135962145,0.1264641846798953,7,LD6,3130
258,-2.557697706859147,0.07748292365326305,9,LD6,3130
259,-3.2120068996222293,0.04027570281683859,11,LD6,3130
260,-3.733865763053496,0.02390026426355008,13,LD6,3130
261,-3.777328406806196,0.022883745892203704,15,LD6,3130
262,-3.713859956263105,0.024383223216522573,17,LD6,3130
263,-3.7123598681967422,0.024419827646759484,19,LD6,3130
264,-3.6949080644176084,0.02484973813262377,21,LD6,3130
265,-3.7862360907960593,0.02268080990198606,23,LD6,3130
266,-3.767258530988985,0.023115346509228914,25,LD6,3130
267,-3.804753158326222,0.022264692341733915,27,LD6,3130
268,-3.8566874248971392,0.02113790457266879,29,LD6,3130
269,-3.824948037026056,0.021819569311296805,31,LD6,3130
270,0.7082777276594502,2.030491186664811,3,LES,S071
271,-1.6164440157863924,0.19860367643474414,5,LES,S071
272,-1.725901370184773,0.1780125242545284,7,LES,S071
273,-2.9583170543854362,0.051906199016830766,9,LES,S071
274,-3.9149909638899527,0.019940728831455846,11,LES,S071
275,-3.931696899325008,0.019610367484035635,13,LES,S071
276,-3.994677732133525,0.018413379495169135,15,LES,S071
277,-4.010118579823976,0.018131245109469184,17,LES,S071
278,-3.9959577166093205,0.018389825732709336,19,LES,S071
279,-4.011829751366984,0.018100245968786326,21,LES,S071
280,-4.0143168850444075,0.018055284173642345,23,LES,S071
281,-3.9920852559497115,0.018461177674023346,25,LES,S071
282,-4.04805977586635,0.017456210765454047,27,LES,S071
283,-4.036808940676765,0.017653716685714593,29,LES,S071
284,-4.01348661114164,0.018070281229869447,31,LES,S071
285,1.8071494198562994,6.093053914697052,3,LES,S061
286,-1.7138171030997862,0.1801767251968293,5,LES,S061
287,-1.626735186679497,0.19657029295496292,7,LES,S061
288,-2.3845824620318687,0.09212743825312153,9,LES,S061
289,-3.3546879366549756,0.03492026578955464,11,LES,S061
290,-3.3764772538278436,0.03416760678376834,13,LES,S061
291,-3.4933573678671954,0.030398641232530912,15,LES,S061
292,-3.5757626802981064,0.02799406710689346,17,LES,S061
293,-3.6101746900383227,0.02704712159092592,19,LES,S061
294,-3.6413683345024475,0.026216446543111536,21,LES,S061
295,-3.5451049416545133,0.028865593147631315,23,LES,S061
296,-3.5610912306458165,0.02840780832322138,25,LES,S061
297,-3.573354562820652,0.02806156134356733,27,LES,S061
298,-3.55994307761277,0.028440443566051275,29,LES,S061
299,-3.5960269498855126,0.027432496905992938,31,LES,S061
