,size,treatment,animal,dimension,Embedding
6259,-4.491444727268863,LID,26,6,head
6260,-5.445967057141901,LID,26,7,head
6261,-5.022319164270028,LID,26,8,head
6262,-5.697458615560032,LID,26,9,head
6263,-5.806634412277139,LID,26,10,head
6264,-6.591106537152986,LID,26,11,head
6265,-6.985047774897896,LID,26,12,head
6266,-7.700188829031053,LID,26,13,head
6267,-8.076545453762725,LID,26,14,head
6268,-8.464550350325663,LID,26,15,head
6269,-7.994195653885326,LID,26,16,head
6270,-8.5028069427943,LID,26,17,head
6271,-10.208838138429961,LID,26,18,head
6272,-10.09625703617425,LID,26,19,head
6273,-8.890320743025617,LID,26,20,head
6274,-9.272060277023117,LID,26,21,head
6275,-10.910119889106706,LID,26,22,head
6276,-10.710628200121814,LID,26,23,head
6277,-9.812703961722335,LID,26,24,head
6278,-10.041517021297924,LID,26,25,head
6279,-10.161125021206578,LID,26,26,head
6280,-11.635605050744564,LID,26,27,head
6281,-11.902900496729524,LID,26,28,head
6282,-11.351483743382355,LID,26,29,head
6283,-11.279788965705364,LID,26,30,head
6284,-11.861181448763283,LID,26,31,head
6285,-11.590652805120216,LID,26,32,head
6286,-11.467396835123532,LID,26,33,head
6287,-11.329864971663701,LID,26,34,head
6288,-11.738341038330068,LID,26,35,head
6289,-12.358760729589244,LID,26,36,head
6290,-12.914902008798677,LID,26,37,head
6291,-12.94914256297842,LID,26,38,head
6292,-12.77691991059327,LID,26,39,head
6293,-12.785684721756951,LID,26,40,head
6294,-12.776942870331554,LID,26,41,head
6295,-12.586301043757622,LID,26,42,head
6296,-12.472849756639437,LID,26,43,head
6297,-13.149205196732925,LID,26,44,head
6298,-13.191964620018311,LID,26,45,head
6299,-14.643203270063777,LID,26,46,head
6300,-14.266728444525866,LID,26,47,head
6301,-13.39977113417933,LID,26,48,head
6302,-13.680677734031196,LID,26,49,head
6303,-13.87536991909633,LID,26,50,head
6304,-13.61098626632935,LID,26,51,head
6305,-13.378083303630188,LID,26,52,head
6306,-13.728816290045673,LID,26,53,head
6307,-14.300077468516607,LID,26,54,head
6308,-14.830004159768515,LID,26,55,head
6309,-14.798573187966971,LID,26,56,head
6310,-14.988621788192798,LID,26,57,head
6311,-15.020853171484198,LID,26,58,head
6312,-14.848292361449072,LID,26,59,head
6313,1.901902126719122,LID,26,1,6-Dimensional
6314,1.4499002163592376,LID,26,2,6-Dimensional
6315,0.22052515839091302,LID,26,3,6-Dimensional
6316,-1.0159244843778779,LID,26,4,6-Dimensional
6317,0.15126897941833395,LID,26,5,6-Dimensional
6318,1.2752215753162461,LID,26,6,6-Dimensional
6319,-1.4629703305352575,LID,26,7,6-Dimensional
6320,-0.3131102723375974,LID,26,8,6-Dimensional
6321,0.2462432941955847,LID,26,9,6-Dimensional
6322,-2.734567782863618,LID,26,10,6-Dimensional
6323,-1.4088418301904635,LID,26,11,6-Dimensional
6324,-0.3862596460357176,LID,26,12,6-Dimensional
6325,-2.6918411289906583,LID,26,13,6-Dimensional
6326,-3.172780468346948,LID,26,14,6-Dimensional
6327,-2.5245755361358255,LID,26,15,6-Dimensional
6328,-2.975827651319664,LID,26,16,6-Dimensional
6329,-4.044048325379878,LID,26,17,6-Dimensional
6330,-3.776342942964302,LID,26,18,6-Dimensional
6331,-4.088887774706727,LID,26,19,6-Dimensional
6332,-6.856460805509179,LID,26,20,6-Dimensional
6333,-5.414833421793722,LID,26,21,6-Dimensional
6334,-4.64370228694615,LID,26,22,6-Dimensional
6335,-7.634505269468571,LID,26,23,6-Dimensional
6336,-6.416457909293259,LID,26,24,6-Dimensional
6337,-6.323747974651173,LID,26,25,6-Dimensional
6338,-7.292560602848742,LID,26,26,6-Dimensional
6339,-7.525673279974688,LID,26,27,6-Dimensional
6340,-6.607865374964717,LID,26,28,6-Dimensional
6341,-7.753018886725306,LID,26,29,6-Dimensional
6342,-8.086268255255407,LID,26,30,6-Dimensional
6343,-8.722903718682169,LID,26,31,6-Dimensional
6344,-6.944276222029841,LID,26,32,6-Dimensional
6345,-7.627738335143465,LID,26,33,6-Dimensional
6346,-8.966947538676736,LID,26,34,6-Dimensional
6347,-9.703889078717047,LID,26,35,6-Dimensional
6348,-8.206126928624617,LID,26,36,6-Dimensional
6349,-9.086785399440686,LID,26,37,6-Dimensional
6350,-9.15287625688396,LID,26,38,6-Dimensional
6351,-9.928637702949178,LID,26,39,6-Dimensional
6352,-8.587880869584769,LID,26,40,6-Dimensional
6353,-8.105801424294087,LID,26,41,6-Dimensional
6354,-7.806274114867685,LID,26,42,6-Dimensional
6355,-10.261832796924418,LID,26,43,6-Dimensional
6356,-10.349456102202344,LID,26,44,6-Dimensional
6357,-9.528819151272149,LID,26,45,6-Dimensional
6358,-9.991070712058091,LID,26,46,6-Dimensional
6359,-10.892165352293052,LID,26,47,6-Dimensional
6360,-11.326461542399704,LID,26,48,6-Dimensional
6361,-8.61911185774042,LID,26,49,6-Dimensional
6362,-11.146897258865495,LID,26,50,6-Dimensional
6363,-8.496351671086792,LID,26,51,6-Dimensional
6364,-9.0382772250398,LID,26,52,6-Dimensional
6365,-9.804345724332652,LID,26,53,6-Dimensional
6366,-12.208085760817012,LID,26,54,6-Dimensional
6367,-12.194045289757868,LID,26,55,6-Dimensional
6368,-13.136508683246301,LID,26,56,6-Dimensional
6369,-11.603585158466057,LID,26,57,6-Dimensional
6370,-8.392084498729906,LID,26,58,6-Dimensional
6371,-12.801219531033095,LID,26,59,6-Dimensional
6372,1.704309174373105,LES,S0,1,body
6373,0.3979853058191768,LES,S0,2,body
6374,-0.4544980944775825,LES,S0,3,body
6375,-0.9378312215389109,LES,S0,4,body
6376,-1.30408503143772,LES,S0,5,body
6377,-1.4303433730041322,LES,S0,6,body
6378,-1.8397722154357627,LES,S0,7,body
6379,-1.9677700898693171,LES,S0,8,body
6380,-1.170974263835848,LES,S0,9,body
6381,-1.9959749644109956,LES,S0,10,body
6382,-3.7557922716470373,LES,S0,11,body
6383,-6.953441908269385,LES,S0,12,body
6384,-9.04724670671201,LES,S0,13,body
6385,-9.13391263343396,LES,S0,14,body
6386,-8.026776691174973,LES,S0,15,body
6387,-8.727349790796056,LES,S0,16,body
6388,-10.062415690674895,LES,S0,17,body
6389,-9.750735499677585,LES,S0,18,body
6390,-7.918891346442399,LES,S0,19,body
6391,-7.607714758573117,LES,S0,20,body
6392,-7.786148955798937,LES,S0,21,body
6393,-8.896396114779717,LES,S0,22,body
6394,-9.702489773028512,LES,S0,23,body
6395,-12.753787314663942,LES,S0,24,body
6396,-13.025440721733897,LES,S0,25,body
6397,-10.734528232722269,LES,S0,26,body
6398,-10.971041872791615,LES,S0,27,body
6399,-13.280277671529799,LES,S0,28,body
6400,-12.489230042261733,LES,S0,29,body
6401,-12.238148959320696,LES,S0,30,body
6402,-13.177155837890682,LES,S0,31,body
6403,-15.13098271663539,LES,S0,32,body
6404,-13.198438177692081,LES,S0,33,body
6405,-13.402953325402072,LES,S0,34,body
6406,-13.049086523034383,LES,S0,35,body
6407,-14.112367263037605,LES,S0,36,body
6408,-13.658863359594003,LES,S0,37,body
6409,-15.564553645671944,LES,S0,38,body
6410,-13.93107690044552,LES,S0,39,body
6411,-12.187168580821952,LES,S0,40,body
6412,-16.847717844199472,LES,S0,41,body
6413,-17.375993701188737,LES,S0,42,body
6414,-12.464867103403785,LES,S0,43,body
6415,-16.63352239776459,LES,S0,44,body
6416,-16.90524630566473,LES,S0,45,body
6417,-13.322818370463253,LES,S0,46,body
6418,-15.424199050190543,LES,S0,47,body
6419,-14.842763450984402,LES,S0,48,body
6420,-17.986431134625015,LES,S0,49,body
6421,-16.96900465932243,LES,S0,50,body
6422,-14.310547735558256,LES,S0,51,body
6423,-14.809852044455546,LES,S0,52,body
6424,-15.718632040889506,LES,S0,53,body
6425,-15.472766499647097,LES,S0,54,body
6426,-13.602594365045741,LES,S0,55,body
6427,-17.595917365423116,LES,S0,56,body
